Report_time,GHID,Reportid,F00,F01,F02,F03,F04,F05,F06
2020090110,tarib,slp,1003.53,1002.83,1003.04,1002.75,1002.13,1001.74,1002.02
2020090110,tarib,swi,759.3,682.29,876.25,917.90,1053.13,784.14,482.98
2020090110,tarib,tsf,305.05,305.80,307.04,307.24,307.27,306.89,306.50
2020090110,tarib,vpd,2.44,2.69,3.11,3.10,3.15,3.05,2.90
2020090110,xshb,dsf,292.90,293.09,293.36,293.34,292.78,292.78,292.97
2020090110,xshb,lwo,284.85,287.12,278.12,279.33,285.81,289.90,288.79
2020090110,xshb,psf,948.49,948.09,948.37,948.14,947.59,947.26,947.50
2020090110,xshb,rh,59.08,57.32,59.12,57.77,54.26,54.65,56.55
2020090110,xshb,slp,1003.69,1003.20,1003.46,1003.17,1002.49,1002.20,1002.41
2020090110,xshb,swi,768.1,903.84,885.29,1052.15,784.23,673.17,485.81
2020090110,xshb,tsf,301.48,302.18,301.95,302.32,302.79,302.66,302.29
2020090110,xshb,vpd,1.60,1.73,1.64,1.73,1.92,1.89,1.78
2020090111,shgb,dsf,297.49,295.32,295.05,295.26,295.33,295.46,296.16
2020090111,shgb,lwo,0.00,288.95,288.20,290.15,279.69,286.50,291.93
2020090111,shgb,psf,1004.14,1003.83,1003.29,1002.66,1002.76,1002.14,1001.85
2020090111,shgb,rh,72.24,51.56,50.63,52.47,53.93,56.63,63.56
2020090111,shgb,slp,1004.40,1004.08,1003.52,1002.95,1002.98,1002.33,1002.09
2020090111,shgb,swi,9999.9,907.67,889.07,810.01,671.32,478.71,271.10
2020090111,shgb,tsf,302.91,306.45,306.46,306.07,305.66,304.95,303.71
2020090111,shgb,vpd,1.18,2.51,2.56,2.41,2.28,2.06,1.62
2020090111,tarib,dsf,293.80,292.69,293.27,293.41,293.37,293.59,294.10
2020090111,tarib,lwo,0.00,289.57,289.21,283.19,275.45,292.69,285.04
2020090111,tarib,psf,992.11,992.28,991.59,991.10,991.23,990.68,990.56
2020090111,tarib,rh,58.63,42.97,43.70,45.39,44.72,47.03,52.77
2020090111,tarib,slp,1003.43,1003.52,1002.80,1002.37,1002.42,1001.84,1001.79
2020090111,tarib,swi,9999.9,1403.94,1365.56,855.49,860.81,499.12,199.83
2020090111,tarib,tsf,302.56,306.69,307.03,306.52,306.74,306.11,304.67
2020090111,tarib,vpd,1.72,2.99,3.01,2.84,2.91,2.69,2.21
2020090111,xshb,dsf,293.85,292.59,293.48,293.61,293.28,293.16,293.25
2020090111,xshb,lwo,0.00,286.75,287.16,274.01,268.06,282.53,287.68
2020090111,xshb,psf,948.56,948.71,948.12,947.71,947.92,947.40,947.16
2020090111,xshb,rh,66.54,54.96,57.30,60.58,58.30,58.18,60.01
2020090111,xshb,slp,1003.72,1003.85,1003.17,1002.83,1002.91,1002.29,1002.09
2020090111,xshb,swi,9999.9,922.35,1176.25,793.30,870.92,485.69,269.81
2020090111,xshb,tsf,300.49,302.36,302.61,301.81,302.10,302.02,301.59
2020090111,xshb,vpd,1.23,1.85,1.78,1.57,1.69,1.68,1.57
2020090112,shgb,dsf,297.45,295.28,295.19,295.27,295.48,296.00,297.08
2020090112,shgb,lwo,0.00,289.92,289.61,290.91,284.55,286.83,290.51
2020090112,shgb,psf,1003.76,1003.40,1003.00,1002.46,1002.79,1002.38,1002.36
2020090112,shgb,rh,72.29,51.39,51.72,53.86,56.80,62.79,74.58
2020090112,shgb,slp,1004.01,1003.62,1003.22,1002.72,1002.99,1002.58,1002.61
2020090112,shgb,swi,9999.9,892.69,807.72,669.62,482.92,267.91,61.22
2020090112,shgb,tsf,302.86,306.45,306.25,305.63,304.92,303.75,301.95
2020090112,shgb,vpd,1.17,2.52,2.47,2.28,2.05,1.65,1.02
2020090112,tarib,dsf,294.12,292.82,292.99,292.93,293.15,293.80,294.71
2020090112,tarib,lwo,0.00,290.17,274.80,281.10,273.49,285.99,291.11
2020090112,tarib,psf,991.82,991.89,991.31,990.84,991.26,991.04,991.16
2020090112,tarib,rh,58.69,43.06,44.63,43.68,46.26,51.30,61.69
2020090112,tarib,slp,1003.15,1003.10,1002.49,1002.07,1002.45,1002.24,1002.46
2020090112,tarib,swi,9999.9,1330.12,682.09,788.06,350.71,270.92,58.82
2020090112,tarib,tsf,302.88,306.79,306.36,306.66,305.92,304.83,302.66
2020090112,tarib,vpd,1.75,3.00,2.85,2.95,2.70,2.30,1.60
2020090112,xshb,dsf,294.08,292.76,292.26,293.35,292.91,292.98,293.18
2020090112,xshb,lwo,0.00,287.31,288.11,287.45,275.83,283.28,286.77
2020090112,xshb,psf,948.28,948.35,947.89,947.52,947.95,947.63,947.67
2020090112,xshb,rh,66.94,55.28,52.81,56.73,56.78,59.83,65.39
2020090112,xshb,slp,1003.39,1003.44,1002.87,1002.47,1002.87,1002.58,1002.78
2020090112,xshb,swi,9999.9,902.41,818.18,839.61,481.81,260.15,58.59
2020090112,xshb,tsf,300.63,302.44,302.69,302.64,302.16,301.35,300.08
2020090112,xshb,vpd,1.23,1.84,1.97,1.80,1.75,1.55,1.24
2020090113,shgb,dsf,297.41,295.30,295.30,295.52,296.12,297.14,297.41
2020090113,shgb,lwo,0.00,290.76,290.57,291.30,284.58,287.09,287.69
2020090113,shgb,psf,1003.44,1002.91,1002.64,1002.35,1002.58,1002.83,1002.69
2020090113,shgb,rh,71.88,52.26,53.59,57.36,63.79,75.11,85.08
2020090113,shgb,slp,1003.68,1003.11,1002.85,1002.61,1002.80,1003.04,1002.94
2020090113,shgb,swi,9999.9,807.80,668.38,484.26,268.16,61.13,0.00
2020090113,shgb,tsf,302.91,306.18,305.75,304.80,303.60,301.88,300.07
2020090113,shgb,vpd,1.19,2.43,2.31,2.01,1.60,0.99,0.54
2020090113,tarib,dsf,294.43,293.04,292.75,293.18,294.14,294.87,295.60
2020090113,tarib,lwo,0.00,291.69,281.24,290.66,285.57,287.70,288.50
2020090113,tarib,psf,991.54,991.48,990.94,990.81,991.21,991.63,991.78
2020090113,tarib,rh,59.71,43.98,43.21,45.11,53.20,62.49,74.17
2020090113,tarib,slp,1002.84,1002.66,1002.14,1002.05,1002.43,1002.93,1003.13
2020090113,tarib,swi,9999.9,812.23,715.15,654.54,272.92,57.17,0.00
2020090113,tarib,tsf,302.93,306.66,306.66,306.38,304.58,302.61,300.50
2020090113,tarib,vpd,1.71,2.93,2.97,2.83,2.18,1.56,0.95
2020090113,xshb,dsf,294.32,292.66,292.02,292.36,292.91,293.71,294.13
2020090113,xshb,lwo,0.00,288.02,288.80,288.96,279.40,284.67,284.44
2020090113,xshb,psf,948.00,948.04,947.65,947.55,947.83,947.97,948.10
2020090113,xshb,rh,67.33,55.67,52.42,54.30,58.21,67.64,78.31
2020090113,xshb,slp,1003.07,1003.11,1002.58,1002.44,1002.74,1003.10,1003.46
2020090113,xshb,swi,9999.9,817.42,674.27,491.30,265.48,58.21,0.00
2020090113,xshb,tsf,300.79,302.23,302.55,302.32,301.74,300.07,298.09
2020090113,xshb,vpd,1.22,1.80,1.97,1.87,1.65,1.16,0.69
2020090114,shgb,dsf,296.46,294.62,294.97,296.43,296.82,297.46,297.53
2020090114,shgb,lwo,0.00,285.99,288.21,288.91,288.16,287.27,287.28
2020090114,shgb,psf,1002.71,1002.55,1002.23,1002.33,1002.51,1003.41,1003.71
2020090114,shgb,rh,67.10,50.91,54.59,65.21,72.74,84.48,89.49
2020090114,shgb,slp,1002.94,1002.76,1002.41,1002.55,1002.74,1003.60,1003.97
2020090114,shgb,swi,9999.9,668.10,483.47,270.54,60.95,0.00,0.00
2020090114,shgb,tsf,303.09,305.89,305.05,303.55,302.09,300.25,299.36
2020090114,shgb,vpd,1.41,2.46,2.17,1.53,1.10,0.56,0.36
2020090114,tarib,dsf,293.60,292.33,292.92,293.93,295.02,295.80,296.04
2020090114,tarib,lwo,0.00,284.75,290.72,290.38,288.47,287.87,286.78
2020090114,tarib,psf,990.87,991.23,990.58,991.10,991.36,992.45,992.89
2020090114,tarib,rh,54.36,42.09,44.68,52.61,63.69,74.44,81.19
2020090114,tarib,slp,1002.15,1002.39,1001.73,1002.35,1002.65,1003.77,1004.30
2020090114,tarib,swi,9999.9,668.83,491.47,276.31,58.63,0.00,0.00
2020090114,tarib,tsf,303.64,306.65,306.26,304.55,302.46,300.65,299.45
2020090114,tarib,vpd,2.01,3.03,2.83,2.20,1.50,0.95,0.65
2020090114,xshb,dsf,293.69,292.36,292.25,292.35,293.55,294.33,294.25
2020090114,xshb,lwo,0.00,284.84,286.15,285.94,284.41,283.30,283.44
2020090114,xshb,psf,947.39,947.68,947.34,947.56,947.81,948.76,948.97
2020090114,xshb,rh,62.24,54.12,54.19,57.08,68.16,80.81,85.04
2020090114,xshb,slp,1002.28,1002.65,1002.18,1002.52,1002.98,1004.26,1004.61
2020090114,xshb,swi,9999.9,673.69,486.55,270.83,58.66,0.00,0.00
2020090114,xshb,tsf,301.43,302.38,302.24,301.48,299.78,297.78,296.86
2020090114,xshb,vpd,1.47,1.88,1.87,1.67,1.12,0.60,0.44
2020090115,shgb,dsf,296.73,295.03,295.60,297.11,297.57,297.70,297.67
2020090115,shgb,lwo,0.00,288.87,288.15,287.88,286.15,286.65,286.52
2020090115,shgb,psf,1002.72,1002.68,1002.76,1003.19,1003.29,1003.87,1004.11
2020090115,shgb,rh,68.21,54.88,60.93,74.46,85.70,91.03,94.19
2020090115,shgb,slp,1002.94,1002.88,1002.93,1003.41,1003.52,1004.08,1004.35
2020090115,shgb,swi,9999.9,483.41,270.47,60.96,0.00,0.00,0.00
2020090115,shgb,tsf,303.08,305.03,303.83,302.00,300.11,299.25,298.66
2020090115,shgb,vpd,1.36,2.16,1.74,1.03,0.51,0.31,0.19
2020090115,tarib,dsf,294.20,292.98,293.59,294.66,295.41,295.78,295.75
2020090115,tarib,lwo,0.00,289.25,289.65,288.00,286.13,286.87,285.80
2020090115,tarib,psf,991.19,991.47,991.36,992.05,992.30,992.98,993.25
2020090115,tarib,rh,57.69,46.92,50.72,61.88,73.49,80.75,84.08
2020090115,tarib,slp,1002.47,1002.65,1002.56,1003.37,1003.65,1004.36,1004.68
2020090115,tarib,swi,9999.9,482.40,268.62,58.54,0.00,0.00,0.00
2020090115,tarib,tsf,303.26,305.49,304.80,302.56,300.46,299.28,298.58
2020090115,tarib,vpd,1.83,2.60,2.32,1.58,0.97,0.66,0.52
2020090115,xshb,dsf,293.78,292.63,292.61,293.18,293.84,294.27,294.12
2020090115,xshb,lwo,0.00,285.59,285.49,284.22,281.95,282.93,282.22
2020090115,xshb,psf,947.63,947.90,947.94,948.42,948.64,949.13,949.27
2020090115,xshb,rh,63.68,57.84,58.59,66.97,78.46,85.86,88.77
2020090115,xshb,slp,1002.59,1002.94,1002.92,1003.63,1004.04,1004.72,1005.01
2020090115,xshb,swi,9999.9,486.55,270.76,59.46,0.00,0.00,0.00
2020090115,xshb,tsf,301.15,301.55,301.31,299.69,297.76,296.73,296.03
2020090115,xshb,vpd,1.39,1.65,1.60,1.16,0.67,0.42,0.32
2020090116,shgb,dsf,297.00,295.84,296.70,297.35,297.53,297.57,297.10
2020090116,shgb,lwo,0.00,289.02,287.49,286.67,285.29,285.81,286.40
2020090116,shgb,psf,1002.87,1002.90,1003.29,1003.93,1003.88,1004.37,1004.53
2020090116,shgb,rh,71.44,62.24,72.51,85.42,91.03,94.68,92.08
2020090116,shgb,slp,1003.10,1003.09,1003.45,1004.16,1004.12,1004.59,1004.76
2020090116,shgb,swi,9999.9,270.46,60.92,0.00,0.00,0.00,0.00
2020090116,shgb,tsf,302.58,303.72,302.02,299.95,299.07,298.47,298.45
2020090116,shgb,vpd,1.19,1.67,1.11,0.52,0.30,0.17,0.26
2020090116,tarib,dsf,294.79,294.00,294.61,295.32,295.44,295.30,295.29
2020090116,tarib,lwo,0.00,288.81,288.38,286.57,285.17,285.79,285.85
2020090116,tarib,psf,991.51,991.79,992.16,992.95,993.04,993.47,993.56
2020090116,tarib,rh,61.64,55.48,61.87,74.59,80.04,82.59,85.67
2020090116,tarib,slp,1002.81,1003.04,1003.40,1004.32,1004.41,1004.84,1004.98
2020090116,tarib,swi,9999.9,268.32,58.66,0.00,0.00,0.00,0.00
2020090116,tarib,tsf,302.76,303.71,302.51,300.11,299.07,298.41,297.80
2020090116,tarib,vpd,1.61,1.97,1.58,0.91,0.68,0.57,0.45
2020090116,xshb,dsf,293.86,292.78,293.08,293.22,293.58,293.57,293.31
2020090116,xshb,lwo,0.00,284.93,283.88,282.21,281.23,282.09,281.97
2020090116,xshb,psf,947.88,948.21,948.58,949.13,949.11,949.52,949.51
2020090116,xshb,rh,65.41,63.01,68.47,77.30,83.62,86.91,87.99
2020090116,xshb,slp,1002.93,1003.42,1003.86,1004.62,1004.70,1005.24,1005.26
2020090116,xshb,swi,9999.9,270.78,58.71,0.00,0.00,0.00,0.00
2020090116,xshb,tsf,300.79,300.28,299.21,297.36,296.46,295.82,295.36
2020090116,xshb,vpd,1.30,1.34,1.08,0.69,0.47,0.36,0.33
2020090117,shgb,dsf,297.27,296.79,297.23,297.08,296.56,296.40,296.32
2020090117,shgb,lwo,0.00,288.90,286.40,286.14,285.20,285.36,285.97
2020090117,shgb,psf,1003.07,1003.11,1003.83,1004.49,1004.31,1004.84,1005.01
2020090117,shgb,rh,73.73,73.78,86.39,90.07,87.63,89.18,91.00
2020090117,shgb,slp,1003.30,1003.30,1004.00,1004.73,1004.57,1005.07,1005.22
2020090117,shgb,swi,9999.9,60.95,0.00,0.00,0.00,0.00,0.00
2020090117,shgb,tsf,302.32,301.82,299.64,298.79,298.72,298.27,297.85
2020090117,shgb,vpd,1.08,1.04,0.48,0.33,0.41,0.35,0.28
2020090117,tarib,dsf,295.36,294.79,294.93,295.14,295.18,294.72,294.45
2020090117,tarib,lwo,0.00,288.17,286.57,285.36,284.73,285.25,285.17
2020090117,tarib,psf,991.83,992.01,992.97,993.65,993.32,993.85,993.88
2020090117,tarib,rh,65.61,67.32,76.33,81.37,82.69,84.71,84.73
2020090117,tarib,slp,1003.15,1003.32,1004.28,1005.08,1004.74,1005.29,1005.31
2020090117,tarib,swi,9999.9,58.60,0.00,0.00,0.00,0.00,0.00
2020090117,tarib,tsf,302.31,301.27,299.34,298.49,298.27,297.40,297.13
2020090117,tarib,vpd,1.41,1.26,0.81,0.61,0.56,0.47,0.46
2020090117,xshb,dsf,293.95,293.30,293.39,293.37,293.40,293.04,292.88
2020090117,xshb,lwo,0.00,284.20,282.35,282.16,280.93,281.48,281.51
2020090117,xshb,psf,948.13,948.47,949.16,949.65,949.27,949.76,949.75
2020090117,xshb,rh,67.20,72.68,81.31,85.02,86.83,87.14,88.19
2020090117,xshb,slp,1003.25,1003.94,1004.75,1005.37,1005.08,1005.55,1005.47
2020090117,xshb,swi,9999.9,58.72,0.00,0.00,0.00,0.00,0.00
2020090117,xshb,tsf,300.43,298.46,296.72,295.97,295.66,295.24,294.89
2020090117,xshb,vpd,1.20,0.89,0.55,0.42,0.36,0.35,0.31
2020090118,shgb,dsf,297.53,297.69,297.76,296.83,296.18,296.11,295.67
2020090118,shgb,lwo,0.00,286.86,285.50,285.14,284.79,285.93,287.36
2020090118,shgb,psf,1003.67,1003.72,1004.34,1005.12,1004.96,1004.92,1004.65
2020090118,shgb,rh,78.05,89.88,94.68,92.41,88.94,89.39,88.05
2020090118,shgb,slp,1003.93,1003.91,1004.53,1005.35,1005.19,1005.16,1004.90
2020090118,shgb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090118,shgb,tsf,301.64,299.45,298.66,298.12,298.09,297.94,297.74
2020090118,shgb,vpd,0.86,0.35,0.18,0.24,0.35,0.34,0.37
2020090118,tarib,dsf,295.43,294.89,295.49,294.91,294.77,294.60,294.34
2020090118,tarib,lwo,0.00,286.19,285.21,283.86,283.94,285.01,285.70
2020090118,tarib,psf,992.52,992.70,993.38,994.19,993.88,993.99,993.73
2020090118,tarib,rh,70.13,78.72,85.56,80.25,83.46,85.81,85.80
2020090118,tarib,slp,1003.90,1004.08,1004.77,1005.62,1005.29,1005.44,1005.18
2020090118,tarib,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090118,tarib,tsf,301.26,298.79,298.03,298.49,297.70,297.07,296.81
2020090118,tarib,vpd,1.15,0.71,0.46,0.65,0.52,0.43,0.42
2020090118,xshb,dsf,293.95,293.64,293.74,293.42,293.40,293.02,292.76
2020090118,xshb,lwo,0.00,282.43,281.34,280.46,279.90,281.19,282.05
2020090118,xshb,psf,948.77,948.97,949.49,950.17,949.83,949.95,949.62
2020090118,xshb,rh,71.98,83.46,88.60,89.30,90.14,90.56,89.00
2020090118,xshb,slp,1004.16,1004.59,1005.22,1005.93,1005.62,1005.77,1005.40
2020090118,xshb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090118,xshb,tsf,299.29,296.54,295.68,295.23,295.05,294.60,294.61
2020090118,xshb,vpd,0.96,0.48,0.31,0.29,0.26,0.24,0.28
2020090119,shgb,dsf,297.80,297.79,297.65,296.70,296.06,295.66,295.82
2020090119,shgb,lwo,0.00,286.19,284.80,285.27,285.58,287.98,288.07
2020090119,shgb,psf,1004.24,1004.41,1004.68,1005.39,1005.02,1004.87,1004.65
2020090119,shgb,rh,82.48,91.99,96.23,90.34,88.67,86.87,90.90
2020090119,shgb,slp,1004.55,1004.62,1004.92,1005.64,1005.22,1005.11,1004.88
2020090119,shgb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090119,shgb,tsf,300.99,299.16,298.29,298.37,298.02,297.95,297.37
2020090119,shgb,vpd,0.66,0.27,0.12,0.31,0.36,0.42,0.28
2020090119,tarib,dsf,295.55,295.86,294.95,294.66,294.55,294.28,293.89
2020090119,tarib,lwo,0.00,284.84,284.58,284.28,283.48,285.04,286.05
2020090119,tarib,psf,993.22,993.41,993.84,994.42,994.12,993.89,993.67
2020090119,tarib,rh,75.39,85.98,86.22,85.80,87.16,87.49,85.87
2020090119,tarib,slp,1004.73,1004.83,1005.26,1005.85,1005.51,1005.34,1005.10
2020090119,tarib,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090119,tarib,tsf,300.17,298.32,297.35,297.13,296.77,296.43,296.34
2020090119,tarib,vpd,0.89,0.45,0.42,0.43,0.38,0.36,0.41
2020090119,xshb,dsf,293.83,293.58,293.31,293.46,293.27,293.02,292.43
2020090119,xshb,lwo,0.00,281.79,280.80,280.17,279.90,281.31,282.77
2020090119,xshb,psf,949.42,949.47,949.75,950.34,949.93,949.79,949.51
2020090119,xshb,rh,77.08,86.29,89.17,91.81,92.21,92.47,90.26
2020090119,xshb,slp,1005.17,1005.18,1005.63,1006.15,1005.67,1005.57,1005.31
2020090119,xshb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090119,xshb,tsf,298.04,295.94,295.14,294.83,294.57,294.27,294.06
2020090119,xshb,vpd,0.73,0.38,0.29,0.21,0.20,0.19,0.24
2020090120,shgb,dsf,298.34,298.04,297.13,296.37,295.74,295.66,295.95
2020090120,shgb,lwo,0.00,281.63,279.60,280.05,279.62,279.54,282.83
2020090120,shgb,psf,1004.30,1005.45,1004.96,1005.64,1004.99,1004.73,1004.17
2020090120,shgb,rh,81.87,89.33,87.75,86.06,85.63,86.85,89.98
2020090120,shgb,slp,1004.59,1005.69,1005.21,1005.78,1005.20,1004.87,1004.29
2020090120,shgb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090120,shgb,tsf,301.67,299.91,299.27,298.83,298.27,297.96,297.67
2020090120,shgb,vpd,0.71,0.38,0.42,0.47,0.46,0.42,0.31
2020090120,tarib,dsf,296.15,295.85,294.78,294.41,293.76,293.48,293.58
2020090120,tarib,lwo,0.00,278.15,278.43,275.33,279.48,277.40,280.42
2020090120,tarib,psf,993.31,994.60,993.95,994.66,993.77,993.75,993.20
2020090120,tarib,rh,82.46,88.24,84.35,83.76,82.06,82.46,83.53
2020090120,tarib,slp,1004.79,1006.02,1005.43,1006.06,1005.17,1005.13,1004.58
2020090120,tarib,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090120,tarib,tsf,299.31,297.89,297.53,297.27,296.95,296.58,296.47
2020090120,tarib,vpd,0.60,0.37,0.48,0.49,0.54,0.51,0.48
2020090120,xshb,dsf,293.97,293.51,293.65,292.91,292.06,291.79,292.68
2020090120,xshb,lwo,0.00,275.91,253.39,275.36,275.17,271.84,274.71
2020090120,xshb,psf,949.43,950.35,949.95,950.70,949.69,949.58,949.22
2020090120,xshb,rh,83.41,90.81,91.70,88.72,83.67,84.59,92.63
2020090120,xshb,slp,1005.37,1006.26,1005.95,1006.56,1005.35,1005.19,1005.01
2020090120,xshb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090120,xshb,tsf,296.89,295.05,295.04,294.82,294.89,294.44,293.90
2020090120,xshb,vpd,0.49,0.24,0.22,0.30,0.43,0.39,0.18
2020090121,shgb,dsf,298.03,297.61,296.24,296.07,295.77,295.63,295.95
2020090121,shgb,lwo,0.00,281.76,279.93,280.95,282.16,282.58,283.96
2020090121,shgb,psf,1004.64,1005.32,1004.86,1005.44,1005.12,1004.83,1004.23
2020090121,shgb,rh,81.71,87.57,84.37,86.21,86.91,86.63,89.31
2020090121,shgb,slp,1004.95,1005.53,1005.05,1005.59,1005.29,1004.96,1004.41
2020090121,shgb,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090121,shgb,tsf,301.38,299.79,299.01,298.49,298.06,297.96,297.79
2020090121,shgb,vpd,0.71,0.44,0.53,0.45,0.42,0.42,0.34
2020090121,tarib,dsf,295.39,294.96,294.06,293.78,293.43,293.31,293.15
2020090121,tarib,lwo,0.00,279.17,279.37,275.16,279.10,281.46,282.14
2020090121,tarib,psf,993.51,994.45,993.85,994.50,994.03,993.79,993.29
2020090121,tarib,rh,79.90,84.39,81.78,82.07,81.67,82.32,80.32
2020090121,tarib,slp,1005.02,1005.92,1005.30,1005.88,1005.41,1005.14,1004.69
2020090121,tarib,swi,9999.9,0.00,0.00,0.00,0.00,0.00,0.00
2020090121,tarib,tsf,299.06,297.71,297.31,296.97,296.68,296.44,296.67
2020090121,tarib,vpd,0.68,0.49,0.56,0.54,0.54,0.51,0.58
2020090121,xshb,dsf,293.24,292.54,293.00,292.60,292.16,292.31,292.10
2020090121,xshb,lwo,0.00,276.55,275.32,275.21,275.61,277.18,278.29
2020090121,xshb,psf,949.61,950.16,949.81,950.41,949.93,949.72,949.23
2020090121,xshb,rh,80.12,85.39,90.88,88.85,87.39,90.37,90.21
2020090121,xshb,slp,1005.55,1006.05,1005.69,1006.15,1005.63,1005.50,1004.98
